Record Length,Analog:14000
Sample Interval,CH1:0.0000000010000
Vertical Units,CH1:V,,,
Vertical Scale,CH1:0.01,,,
Vertical Offset,CH1:-0.00100,,,
Horizontal Units,us,,,
Horizontal Scale,1.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMFCX5R6567,,,
Software Version,8.1.6.1.26,,,
Source,CH1
Second,Volt
 0.00000054100,0.00220
 0.00000054200,0.00180
 0.00000054300,0.00180
 0.00000054400,0.00020
 0.00000054500,0.00100
 0.00000054600,0.00140
 0.00000054700,0.00100
 0.00000054800,0.00020
 0.00000054900,-0.00020
 0.00000055000,0.00140
 0.00000055100,0.00220
 0.00000055200,0.00180
 0.00000055300,0.00060
 0.00000055400,0.00140
 0.00000055500,0.00220
 0.00000055600,0.00020
 0.00000055700,-0.00020
 0.00000055800,0.00100
 0.00000055900,0.00140
 0.00000056000,0.00140
 0.00000056100,0.00260
 0.00000056200,0.00300
 0.00000056300,0.00220
 0.00000056400,0.00140
 0.00000056500,0.00180
 0.00000056600,0.00100
 0.00000056700,-0.00020
 0.00000056800,-0.00020
 0.00000056900,0.00140
 0.00000057000,0.00100
 0.00000057100,-0.00060
 0.00000057200,0.00020
 0.00000057300,0.00140
 0.00000057400,-0.00060
 0.00000057500,-0.00020
 0.00000057600,-0.00260
 0.00000057700,-0.00380
 0.00000057800,-0.00180
 0.00000057900,-0.00020
